3R PETROLEUM,RRRP3,Petróleo. Gás e Biocombustíveis
EMAE,EMAE4,Energia E Saneamento
EMBPAR S/A,BTTL3,Bens Industriais
EMBRAER,EMBR3,Bens Industriais
ENAUTA PART,ENAT3,Petróleo. Gás e Biocombustíveis
ENCORPAR,ECPR3,Outros
ENCORPAR,ECPR4,Outros
ENERGIAS BR,ENBR3,Energia E Saneamento
ENERGISA,ENGI11,Energia E Saneamento
ENERGISA,ENGI3,Energia E Saneamento
ENERGISA,ENGI4,Energia E Saneamento
ENERGISA MT,ENMT3,Energia E Saneamento
ENERGISA MT,ENMT4,Energia E Saneamento
ENEVA,ENEV3,Energia E Saneamento
ENGIE BRASIL,EGIE3,Energia E Saneamento
ENJOEI,ENJU3,Tecnologia da Informação
EQUATORIAL PARA,EQPA3,Energia E Saneamento
EQUATORIAL PARA,EQPA5,Energia E Saneamento
EQUATORIAL PARA,EQPA6,Energia E Saneamento
EQUATORIAL PARA,EQPA7,Energia E Saneamento
EQUATORIAL,EQTL3,Energia E Saneamento
ESPACOLASER,ESPA3,Consumo Cíclico
ESTAPAR,ALPK3,Bens Industriais
ESTRELA,ESTR3,Bens Industriais
ESTRELA,ESTR4,Bens Industriais
ETERNIT,ETER3,Bens Industriais
EUCATEX,EUCA3,Materiais Básicos
EUCATEX,EUCA4,Materiais Básicos
EVEN,EVEN3,Consumo Cíclico
EZTEC,EZTC3,Consumo Cíclico
FER C ATLANT,VSPT3,Outros
FER C ATLANT,VSPT4,Outros
FER HERINGER,FHER3,Materiais Básicos
FERBASA,FESA3,Materiais Básicos
FERBASA,FESA4,Materiais Básicos
FINANSINOS,FNCN3,Financeiro
FLEURY,FLRY3,Saúde
FLEX S/A,FLEX3,Bens Industriais
FOCUS ON,POWE3,Energia E Saneamento
FRAS-LE,FRAS3,Bens Industriais
G2D INVEST,G2DI33,Financeiro
GAFISA,GFSA3,Consumo Cíclico
GENERALSHOPP,GSHP3,Financeiro
PARANAPANEMA GER,GEPA3,Energia E Saneamento
PARANAPANEMA GER,GEPA4,Energia E Saneamento
GERDAU,GGBR3,Bens Industriais
GERDAU,GGBR4,Bens Industriais
GERDAU MET,GOAU3,Bens Industriais
GERDAU MET,GOAU4,Bens Industriais
GETNET BR,GETT11,Outros
GETNET BR,GETT3,Outros
GETNET BR,GETT4,Outros
GETNINJAS,NINJ3,Tecnologia da Informação
GOL,GOLL4,Bens Industriais
GP INVEST,GPIV33,Financeiro
GPS,GGPS3,Bens Industriais
GRAZZIOTIN,CGRA3,Consumo não Cíclico
GRAZZIOTIN,CGRA4,Consumo não Cíclico
GRENDENE,GRND3,Consumo Cíclico
GRUPO MATEUS,GMAT3,Consumo não Cíclico
GRUPO NATURA,NTCO3,Consumo não Cíclico
GRUPO SBF,SBFG3,Consumo Cíclico
GRUPO SOMA,SOMA3,Consumo Cíclico
GUARARAPES,GUAR3,Consumo Cíclico
HAGA S/A,HAGA3,Bens Industriais
HAGA S/A,HAGA4,Bens Industriais
HAPVIDA,HAPV3,Saúde
HBR REALTY,HBRE3,Financeiro
HELBOR,HBOR3,Consumo Cíclico
HERCULES,HETA3,Bens Industriais
HERCULES,HETA4,Bens Industriais
HIDROVIAS,HBSA3,Bens Industriais
HOTEIS OTHON,HOOT3,Outros
HOTEIS OTHON,HOOT4,Outros
HYPERA,HYPE3,Saúde
IGB S/A,IGBR3,Financeiro
IGUATEMI,IGTA3,Financeiro
IGUATEMI S.A,IGTI11,Outros
IGUATEMI S.A,IGTI3,Outros
IHPARDINI,PARD3,Saúde
IMC S/A,MEAL3,Consumo Cíclico
IND CATAGUAS,CATA3,Outros
IND CATAGUAS,CATA4,Outros
INDS ROMI,ROMI3,Bens Industriais
INEPAR,INEP3,Outros
INEPAR,INEP4,Outros
INFRACOMM,IFCM3,Tecnologia da Informação
INTELBRAS,INTB3,Tecnologia da Informação
INTER SA,INNT3,Consumo Cíclico
INTERMEDICA,GNDI3,Saúde
IOCHP-MAXION,MYPK3,Consumo Cíclico
IRANI,RANI3,Materiais Básicos
IRBBRASIL RE,IRBR3,Financeiro
ITAUSA,ITSA3,Financeiro
ITAUSA,ITSA4,Financeiro
ITAUTEC,ITEC3,Tecnologia da Informação
ITAUUNIBANCO,ITUB3,Financeiro
ITAUUNIBANCO,ITUB4,Financeiro
JALLESMACHAD,JALL3,Consumo não Cíclico
JBS,JBSS3,Consumo não Cíclico
JHSF PART,JHSF3,Consumo Cíclico
JOAO FORTES,JFEN3,Consumo Cíclico
JOSAPAR,JOPA3,Outros
JOSAPAR,JOPA4,Outros
KALLAS,KLAS3,Consumo Cíclico
KARSTEN,CTKA3,Outros
KARSTEN,CTKA4,Outros
KEPLER WEBER,KEPL3,Bens Industriais
KLABIN S/A,KLBN11,Outros
KLABIN S/A,KLBN3,Outros
KLABIN S/A,KLBN4,Outros
KORA SAUDE,KRSA3,Saúde
LAVVI,LAVV3,Consumo Cíclico
LE BISCUIT,LLBI3,Consumo não Cíclico
LE BISCUIT,LLBI4,Consumo não Cíclico
LIFEMED,LMED3,Saúde
LIGHT S/A,LIGT3,Energia E Saneamento
LOCALIZA,RENT3,Consumo Cíclico
LOCAMERICA,LCAM3,Consumo Cíclico
LOCAWEB,LWSA3,Tecnologia da Informação
LOG COM PROP,LOGG3,Outros
LOG-IN,LOGN3,Outros
LOJAS AMERIC,LAME3,Consumo não Cíclico
LOJAS AMERIC,LAME4,Consumo não Cíclico
LOJAS HERING,LHER3,Consumo não Cíclico
LOJAS HERING,LHER4,Consumo não Cíclico
LOJAS MARISA,AMAR3,Consumo Cíclico
LOJAS RENNER,LREN3,Consumo Cíclico
LOPES BRASIL,LPSB3,Financeiro
LUPATECH,LUPA3,Petróleo. Gás e Biocombustíveis
M.DIASBRANCO,MDIA3,Consumo não Cíclico
MAESTROLOC,MSRO3,Consumo Cíclico
MAGAZ LUIZA,MGLU3,Consumo Cíclico
MANGELS INDL,MGEL3,Bens Industriais
MANGELS INDL,MGEL4,Bens Industriais
MARCOPOLO,POMO3,Outros
MARCOPOLO,POMO4,Outros
MARFRIG,MRFG3,Consumo não Cíclico
MATER DEI,MATD3,Saúde
MELHOR SP,MSPA3,Outros
MELHOR SP,MSPA4,Outros
MELIUZ,CASH3,Tecnologia da Informação
MELNICK,MELK3,Consumo Cíclico
MERC BRASIL,BMEB3,Financeiro
MERC BRASIL,BMEB4,Financeiro
MERC FINANC,MERC3,Financeiro
MERC FINANC,MERC4,Financeiro
MERC INVEST,BMIN3,Financeiro
MERC INVEST,BMIN4,Financeiro
METAL IGUACU,MTIG3,Bens Industriais
METAL IGUACU,MTIG4,Bens Industriais
METAL LEVE,LEVE3,Consumo Cíclico
METALFRIO,FRIO3,Bens Industriais
METISA,MTSA3,Bens Industriais
METISA,MTSA4,Bens Industriais
MILLS,MILS3,Bens Industriais
MINASMAQUINA,MMAQ3,Bens Industriais
MINASMAQUINA,MMAQ4,Bens Industriais
MINERVA,BEEF3,Consumo não Cíclico
MINUPAR,MNPR3,Consumo não Cíclico
MITRE REALTY,MTRE3,Consumo Cíclico
MMX MINER,MMXM3,Materiais Básicos
MOBLY,MBLY3,Tecnologia da Informação
MODALMAIS,MODL11,Financeiro
MODALMAIS,MODL3,Financeiro
MODALMAIS,MODL4,Financeiro
MONT ARANHA,MOAR3,Financeiro
MOSAICO,MOSI3,Tecnologia da Informação
MOURA DUBEUX,MDNE3,Consumo Cíclico
MOVIDA,MOVI3,Consumo Cíclico
MRV,MRVE3,Consumo Cíclico
MULTILASER,MLAS3,Tecnologia da Informação
MULTIPLAN,MULT3,Financeiro
MULTIPLUS,MPLU3,Consumo Cíclico
MUNDIAL,MNDL3,Consumo Cíclico
NEOENERGIA,NEOE3,Energia E Saneamento
NEOGRID,NGRD3,Tecnologia da Informação
NORD BRASIL,BNBR3,Financeiro
NORDON MET,NORD3,Bens Industriais
NORTCQUIMICA,NRTQ3,Saúde
OCEANPACT,OPCT3,Petróleo. Gás e Biocombustíveis
ODONTOPREV,ODPV3,Saúde
OI,OIBR3,Comunicações
OI,OIBR4,Comunicações
ONCOCLINICAS,ONCO3,Saúde
ORIZON,ORVR3,Energia E Saneamento
OSX BRASIL,OSXB3,Petróleo. Gás e Biocombustíveis
OUROFINO S/A,OFSA3,Saúde
P.ACUCAR-CBD,PCAR3,Consumo não Cíclico
PACIFIC RDSL,PACF3,Saúde
PADTEC,PDTC3,Financeiro
PAGUE MENOS,PGMN3,Saúde
PANATLANTICA,PATI3,Bens Industriais
PANATLANTICA,PATI4,Bens Industriais
PAR AL BAHIA,PEAB3,Outros
PAR AL BAHIA,PEAB4,Outros
PARANAPANEMA,PMAM3,Materiais Básicos
PDG REALT,PDGR3,Consumo Cíclico
PET MANGUINH,RPMG3,Petróleo. Gás e Biocombustíveis
PETROBRAS,PETR3,Petróleo. Gás e Biocombustíveis
PETROBRAS,PETR4,Petróleo. Gás e Biocombustíveis
PETRORECSA,RECV3,Petróleo. Gás e Biocombustíveis
PETRORIO,PRIO3,Petróleo. Gás e Biocombustíveis
PETTENATI,PTNT3,Consumo Cíclico
PETTENATI,PTNT4,Consumo Cíclico
PETZ,PETZ3,Consumo Cíclico
BANCO PINE,PINE3,Financeiro
Banco Pine,PINE4,Financeiro
PLANOEPLANO,PLPL3,Consumo Cíclico
PLASCAR PART,PLAS3,Consumo Cíclico
POLPAR,PPAR3,Outros
POMIFRUTAS,FRTA3,Consumo não Cíclico
PORTO SEGURO,PSSA3,Financeiro
PORTOBELLO,PTBL3,Bens Industriais
POSITIVO TEC,POSI3,Tecnologia da Informação
PRINER,PRNR3,Bens Industriais
PROFARMA,PFRM3,Saúde
QUALICORP,QUAL3,Saúde
QUALITY SOFT,QUSW3,Tecnologia da Informação
QUERO-QUERO,LJQQ3,Consumo Cíclico
RAIADROGASIL,RADL3,Saúde
RAIZEN,RAIZ4,Petróleo. Gás e Biocombustíveis
RANDON PART,RAPT3,Outros
RANDON PART,RAPT4,Outros
RECRUSUL,RCSL3,Bens Industriais
RECRUSUL,RCSL4,Bens Industriais
REDE D'OR,RDOR3,Saúde
REDE ENERGIA,REDE3,Energia E Saneamento
RENOVA,RNEW11,Energia E Saneamento
RENOVA,RNEW3,Energia E Saneamento
RENOVA,RNEW4,Energia E Saneamento
RNI,RDNI3,Consumo Cíclico
RODOBENS,RBNS11,Outros
ROSSI RESID,RSID3,Consumo Cíclico
RUMO S.A.,RAIL3,Bens Industriais
SABESP,SBSP3,Energia E Saneamento
SANEPAR,SAPR11,Petróleo. Gás e Biocombustíveis
SANEPAR,SAPR3,Petróleo. Gás e Biocombustíveis
SANEPAR,SAPR4,Petróleo. Gás e Biocombustíveis
SANSUY,SNSY3,Materiais Básicos
SANSUY,SNSY5,Materiais Básicos
SANSUY,SNSY6,Materiais Básicos
SANTANDER BR,SANB11,Financeiro
SANTANDER BR,SANB3,Financeiro
SANTANDER BR,SANB4,Financeiro
SANTANENSE,CTSA3,Outros
SANTANENSE,CTSA4,Outros
SANTOS BRP,STBP3,Bens Industriais
SAO CARLOS,SCAR3,Financeiro
SAO MARTINHO,SMTO3,Consumo não Cíclico
SARAIVA LIVR,SLED3,Outros
SARAIVA LIVR,SLED4,Outros
SCHULZ,SHUL3,Bens Industriais
SCHULZ,SHUL4,Bens Industriais
SEG AL BAHIA,CSAB3,Financeiro
SEG AL BAHIA,CSAB4,Financeiro
SEQUOIA LOG,SEQL3,Bens Industriais
SER EDUCA,SEER3,Consumo Cíclico
SID NACIONAL,CSNA3,Materiais Básicos
SIMPAR,SIMH3,Financeiro
SINQIA,SQIA3,Tecnologia da Informação
SLC AGRICOLA,SLCE3,Consumo não Cíclico
SMART FIT,SMFT3,Consumo Cíclico
SOMOS EDUCA,SEDU3,Consumo Cíclico
SONDOTECNICA,SOND3,Bens Industriais
SONDOTECNICA,SOND5,Bens Industriais
SONDOTECNICA,SOND6,Bens Industriais
SPRINGER,SPRI3,Bens Industriais
SPRINGER,SPRI5,Bens Industriais
SPRINGER,SPRI6,Bens Industriais
SPRINGS,SGPS3,Consumo Cíclico
SPTURIS,AHEB3,Outros
SPTURIS,AHEB5,Outros
SPTURIS,AHEB6,Outros
STARA,STTR3,Bens Industriais
SUL AMERICA,SULA11,Financeiro
SUL AMERICA,SULA3,Financeiro
SUL AMERICA,SULA4,Financeiro
SUZANO HOLD,NEMO3,Bens Industriais
SUZANO HOLD,NEMO5,Bens Industriais
SUZANO HOLD,NEMO6,Bens Industriais
SUZANO S.A.,SUZB3,Materiais Básicos
SYN PROP TEC,SYNE3,Financeiro
TAESA,TAEE11,Energia E Saneamento
TAESA,TAEE3,Energia E Saneamento
TAESA,TAEE4,Energia E Saneamento
TARPON INV,TRPN3,Financeiro
TAURUS ARMAS,TASA3,Bens Industriais
TAURUS ARMAS,TASA4,Bens Industriais
TC,TRAD3,Tecnologia da Informação
TECHNOS,TECN3,Consumo Cíclico
TECNISA,TCSA3,Consumo Cíclico
TECNOSOLO,TCNO3,Bens Industriais
TECNOSOLO,TCNO4,Bens Industriais
TEGMA,TGMA3,Bens Industriais
TEGRA INCORP,TEGA3,Consumo Cíclico
TEKA,TEKA3,Consumo Cíclico
TEKA,TEKA4,Consumo Cíclico
TEKNO,TKNO3,Bens Industriais
TEKNO,TKNO4,Bens Industriais
TELEBRAS,TELB3,Telecomunicações
TELEBRAS,TELB4,Telecomunicações
TELEF BRASIL,VIVT3,Comunicações
TENDA,TEND3,Consumo Cíclico
TERRASANTAPA,LAND3,Consumo não Cíclico
TIM,TIMS3,Comunicações
TIME FOR FUN,SHOW3,Consumo Cíclico
TOTVS,TOTS3,Tecnologia da Informação
TRACK FIELD,TFCO4,Consumo Cíclico
TRAN PAULIST,TRPL3,Energia E Saneamento
TRAN PAULIST,TRPL4,Energia E Saneamento
TREVISA,LUXM3,Outros
TREVISA,LUXM4,Outros
TRISUL,TRIS3,Consumo Cíclico
TRIUNFO PART,TPIS3,Bens Industriais
TUPY,TUPY3,Bens Industriais
ULTRAPAR,UGPA3,Petróleo. Gás e Biocombustíveis
UNICASA,UCAS3,Consumo Cíclico
UNIFIQUE,FIQE3,Comunicações
UNIPAR,UNIP3,Bens Industriais
UNIPAR,UNIP5,Bens Industriais
UNIPAR,UNIP6,Bens Industriais
USIMINAS,USIM3,Bens Industriais
USIMINAS,USIM5,Bens Industriais
USIMINAS,USIM6,Bens Industriais
VALE,VALE3,Materiais Básicos
VALID,VLID3,Bens Industriais
VAMOS,VAMO3,Consumo Cíclico
VIA,VIIA3,Consumo Cíclico
VIBRA,VBBR3,Petróleo. Gás e Biocombustíveis
VITTIA,VITT3,Materiais Básicos
VIVARA S.A.,VIVA3,Consumo Cíclico
VIVEO,VVEO3,Saúde
VIVER,VIVR3,Consumo Cíclico
VULCABRAS,VULC3,Consumo Cíclico
WDC NETWORKS,LVTC3,Tecnologia da Informação
WEG,WEGE3,Bens Industriais
WESTWING,WEST3,Tecnologia da Informação
WETZEL S/A,MWET3,Bens Industriais
WETZEL S/A,MWET4,Bens Industriais
WHIRLPOOL,WHRL3,Bens Industriais
WHIRLPOOL,WHRL4,Bens Industriais
WILSON SONS,PORT3,Bens Industriais
WIZ S.A.,WIZS3,Financeiro
WLM IND COM,WLMM3,Petróleo. Gás e Biocombustíveis
WLM IND COM,WLMM4,Petróleo. Gás e Biocombustíveis
YDUQS PART,YDUQ3,Consumo Cíclico
